file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,0,4
style.css,2,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,1,43
style.css,3,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,0,42
style.css,4,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,0,0
style.css,5,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,1,23
style.css,6,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,15
style.css,7,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,8,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,14
style.css,9,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,18
style.css,10,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,11,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,12
style.css,12,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,37
style.css,13,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,14,css,71c19a5e,SelinaHhan,2025-10-17,16:34:50,-07:00,2025-10-17T16:34:50-07:00,1,16
style.css,15,css,71c19a5e,SelinaHhan,2025-10-17,16:34:50,-07:00,2025-10-17T16:34:50-07:00,0,0
style.css,16,css,e2272bc8,SelinaHhan,2025-10-01,18:48:51,-07:00,2025-10-01T18:48:51-07:00,0,0
style.css,17,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,3
style.css,18,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,12
style.css,19,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,14
style.css,20,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,10
style.css,21,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,22,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,20
style.css,23,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,13
style.css,24,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,17
style.css,25,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,13
style.css,26,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,18
style.css,27,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,28,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,23
style.css,29,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,25
style.css,30,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,37
style.css,31,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,32,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,33,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,13
style.css,34,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,25
style.css,35,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,26
style.css,36,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,37
style.css,37,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,34
style.css,38,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,39,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,4
style.css,40,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,33
style.css,41,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,32
style.css,42,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,43,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,11
style.css,44,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,25
style.css,45,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,25
style.css,46,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,39
style.css,47,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,34
style.css,48,css,71c19a5e,SelinaHhan,2025-10-17,16:34:50,-07:00,2025-10-17T16:34:50-07:00,1,69
style.css,49,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,50,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,21
style.css,51,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,12
style.css,52,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,53,css,71c19a5e,SelinaHhan,2025-10-17,16:34:50,-07:00,2025-10-17T16:34:50-07:00,0,23
style.css,54,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,12
style.css,55,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,29
style.css,56,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,18
style.css,57,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,18
style.css,58,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
style.css,59,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,3
style.css,60,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,12
style.css,61,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,1,30
style.css,62,css,55e179ca,SelinaHhan,2025-10-10,10:33:15,-07:00,2025-10-10T10:33:15-07:00,0,0
